locationDetails.name,locationDetails.locationId,locationDetails.kioskId,locationDetails.addressLine1,locationDetails.addressLine2,locationDetails.addressLine3,locationDetails.city,locationDetails.state,locationDetails.country,locationDetails.postalCode,locationDetails.distance,locationDetails.distanceuom,locationDetails.retailerId,locationDetails.latitude,locationDetails.longitude,locationOperatingHours.monHours,locationOperatingHours.tueHours,locationOperatingHours.wedHours,locationOperatingHours.thuHours,locationOperatingHours.friHours,locationOperatingHours.satHours,locationOperatingHours.sunHours,locationPhone.addToPhone,locationPhone.phone,locationServices.sendMoney,locationServices.receiveMoney,locationServices.billPayment,locationServices.addToPhone,locationServices.moneyOrder,locationServices.recCurrencies,locationServices.sendCurrencies,locationServices.xpressPackage,locationServices.purchaseMoneygramCard,locationServices.reloadMoneygramCard,locationServices.receiveToCard,locationServices.payWithCash,locationServices.reloadOtherCard,locationServices.payPal,locationServices.coinMe
D UNE RIVE A L AUTRE - NANTES,70709784,MP00045288,2 RUE DE LA PAIX,,,NANTES,,FR,44000,0.427412692214596,km,291199059,47.2145,-1.55418,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,08:00 AM - 09:00 PM,12:00 AM - 12:00 AM,False,0272019096,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
BR HAIR NATURAL HOUSE - NANTES,73360298,,11 ALLEE DUGUAY TROUIN,,,NANTES,,FR,44000,0.598712420505879,km,291462455,47.2132,-1.55571,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,09:00 AM - 08:00 PM,False,255546658,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
JOUMA MARKET - NANTES,72690150,,16 ALLEE COMMANDANT CHARCOT,,,NANTES,,FR,44000,0.608215639742235,km,291402870,47.2172,-1.54577,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,08:00 AM - 10:00 PM,False,255581293,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
CHEZ MAMAZETTE - NANTES,70655825,,14 ALLEE COMMANDANT CHARCOT,,,NANTES,,FR,44000,0.643390347789375,km,291198055,47.2174,-1.54523,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,False,0240293734,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
JM SERVICES - NANTES,74342163,,3 RUE MARECHAL DE LATTRE DE TASSIGNY,,,NANTES,,FR,44000,0.901714671583254,km,291538765,47.2117,-1.56035,08:30 AM - 08:00 PM,08:30 AM - 08:00 PM,08:30 AM - 08:00 PM,08:30 AM - 08:00 PM,08:30 AM - 08:00 PM,08:30 AM - 08:00 PM,09:00 AM - 12:00 PM,False,249445803,True,True,False,False,False,,,False,False,False,False,False,False,False,False
L.A.CARTE GRISE 44 - NANTES,74168062,MP00045582,73 RUE PAUL BELLAMY,,,NANTES,,FR,44000,0.910089400164736,km,291524486,47.2255,-1.55956,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,09:00 AM - 09:00 PM,False,272022510,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE SAINT CLAUDE,66355126,MP00044643,15 RUE DE LA BASTILLE,,,NANTES,,FR,44000,0.960692113944153,km,681892872,47.2185,-1.56634,07:00 AM - 07:30 PM,07:00 AM - 07:30 PM,07:00 AM - 07:30 PM,07:00 AM - 07:30 PM,07:00 AM - 07:30 PM,07:00 AM - 07:30 PM,12:00 AM - 12:00 AM,False,0240203469,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
DIVINE TOUCH AFRICAN MARKET - NANTES,67134634,,45 CHAUSSEE DE LA MADELEINE,,,NANTES,,FR,44000,1.02363053944162,km,876419216,47.2095,-1.55017,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,08:30 AM - 10:00 PM,False,0983210702,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
COSMO MONDE - NANTES,73842253,,63 QUAI DE LA FOSSE,,,NANTES,,FR,44000,1.28629796274049,km,291492744,47.2098,-1.56513,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,08:00 AM - 07:00 PM,False,656819075,False,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
KRAL,74355299,,2 RUE FRANCOIS BRUNEAU,,,NANTES,,FR,44000,1.41395704376691,km,291543596,47.2309,-1.55707,02:00 PM - 06:00 PM,02:00 PM - 06:00 PM,02:00 PM - 06:00 PM,02:00 PM - 06:00 PM,02:00 PM - 06:00 PM,02:00 PM - 06:00 PM,12:00 AM - 12:00 AM,False,952204884,True,True,False,False,False,,,False,False,False,False,False,False,False,False
SAM DISTRIBUTION - NANTES,72371932,,88 QUAI DE LA FOSSE,,,NANTES,,FR,44100,1.65122446940693,km,291354968,47.2084,-1.56987,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,False,255090796,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SHOP LA GRACE AFRICA - NANTES,73787949,,79 BOULEVARD ERNEST DALBY,,,NANTES,,FR,44000,1.79676837130812,km,291499357,47.2223,-1.53056,10:30 AM - 08:00 PM,10:30 AM - 08:00 PM,10:30 AM - 08:00 PM,10:30 AM - 08:00 PM,10:30 AM - 08:00 PM,10:30 AM - 08:00 PM,11:30 AM - 05:30 PM,False,610846578,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
EPICERIE DALBY - NANTES,73864312,,73 BOULEVARD ERNEST DALBY,,,NANTES,,FR,44000,1.82109647264228,km,291502264,47.2228,-1.5304,02:00 PM - 09:00 PM,02:00 PM - 09:00 PM,02:00 PM - 09:00 PM,02:00 PM - 09:00 PM,02:00 PM - 09:00 PM,02:00 PM - 09:00 PM,11:00 AM - 09:00 PM,False,646548006,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
CHEZ MAMA ARLY - NANTES,72690671,,11 RUE DE LA BRASSERIE,,,NANTES,,FR,44000,1.84793946503119,km,291394067,47.2085,-1.57333,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 02:00 PM,False,228014960,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
AMERICA SHOP HAIR - NANTES,71185844,,108 ROUTE DE VANNES,,,NANTES,,FR,44300,3.07024748311577,km,291259943,47.2365,-1.58433,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,10:00 AM - 08:00 PM,12:00 AM - 12:00 AM,False,0228431817,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE PIMENT VERT - REZE,73979605,,PLACE FRANCOIS MITTERRAND-CENTRE COMMERCIAL REZE CHATEAU,,,REZE,,FR,44400,3.79122301920065,km,291508010,47.1845,-1.55958,11:00 AM - 08:00 PM,10:00 AM - 09:00 PM,10:00 AM - 09:00 PM,10:00 AM - 09:00 PM,10:00 AM - 09:00 PM,10:00 AM - 09:00 PM,11:00 AM - 06:00 PM,False,776770916,False,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
SHOP LA GRACE CHEZ TATA,74368244,,64 Route de la Chapelle sur erdre,,,NANTES,,FR,,4.67263518478978,km,291547079,47.2577,-1.57528,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,10:00 AM - 09:30 PM,False,758597320,True,True,False,False,False,,,False,False,False,False,False,False,False,False
CAFE DE L'EGLISE - ST AIGNAN GRANDLIEU,73903532,MP00045135,2 PLACE DE L EGLISE,,,ST AIGNAN GRANDLIEU,,FR,44860,12.2001417114706,km,291499628,47.123,-1.63353,12:00 AM - 12:00 AM,07:00 AM - 08:30 PM,07:00 AM - 08:30 PM,07:00 AM - 08:30 PM,07:00 AM - 08:30 PM,07:00 AM - 08:30 PM,08:00 AM - 01:30 PM,False,240310093,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE CENTRAL - MONTAIGU,67744833,MP00044723,1 PLACE DU CHAMP DE FOIRE,,,MONTAIGU,,FR,85600,32.2984216982055,km,290972451,46.9779,-1.31428,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,0251940049,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
AEC - ST NAZAIRE,73903448,MP00045134,5 RUE DE TRIGNAC,,,ST NAZAIRE,,FR,44600,49.0634161166901,km,291499627,47.2903,-2.195,05:00 AM - 07:00 PM,05:00 AM - 07:00 PM,05:00 AM - 07:00 PM,05:00 AM - 07:00 PM,05:00 AM - 07:00 PM,07:00 AM - 12:15 PM,12:00 AM - 12:00 AM,False,240667138,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
UN PETIT AIR D'AFRIQUE - SAINT NAZAIRE,73883380,,60 RUE DU BOIS SAVARY,,,SAINT NAZAIRE,,FR,44600,50.2185042359328,km,291498730,47.2757,-2.21354,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,11:00 AM - 02:00 PM,False,984481116,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
D2D - CHOLET,71215808,,33 AVENUE DE MOCRAT,,,CHOLET,,FR,49300,52.7059082065365,km,291290844,47.0618,-0.895901,07:30 AM - 06:45 PM,07:30 AM - 06:45 PM,07:30 AM - 06:45 PM,07:30 AM - 06:45 PM,07:30 AM - 06:45 PM,07:30 AM - 06:45 PM,09:00 AM - 12:30 PM,False,241856025,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
C AFRO - CHOLET,74340576,,17 RUE NANTAISE,,,CHOLET,,FR,49300,53.7227118304201,km,291541218,47.0604,-0.882395,12:00 AM - 12:00 AM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,10:00 AM - 07:00 PM,12:00 AM - 12:00 AM,False,788259814,True,True,False,False,False,,,False,False,False,False,False,False,False,False
SNC FAUCHON - CHATEAUBRIANT,70552588,MP00044901,3 RUE CESAR FRANCK,,,CHATEAUBRIANT,,FR,44110,56.5646458388989,km,291185213,47.7136,-1.3817,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,12:00 AM - 12:00 AM,False,0240811583,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LA PRESSE,66324487,MP00044638,44 GRANDE RUE,,,NOIRMOURIER EN L'ILE,,FR,85330,57.7531141095637,km,676454487,47.0013,-2.24693,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,06:00 AM - 10:00 PM,False,25139049,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
CHEZ TINASSOU - LA ROCHE SUR YON,67280818,,18 RUE PAUL BAUDRY,,,LA ROCHE SUR YON,,FR,85000,61.8050850825087,km,897745870,46.6695,-1.42499,03:00 PM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,12:00 AM - 12:00 AM,False,251362141,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MH MOBILE - LA ROCHE SUR YON,73773898,,6 PLACE DE LA VENDEE,,,LA ROCHE SUR YON,,FR,85000,61.8202429047299,km,291491556,46.6687,-1.43188,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,02:00 PM - 07:00 PM,False,251481444,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
TROPIC'EPICES - LA ROCHE SUR YON,72170528,,89 RUE ROGER SALENGRO,,,LA ROCHE SUR YON,,FR,85000,61.8968678196865,km,291330938,46.6671,-1.44102,02:00 PM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,10:00 AM - 07:30 PM,02:00 PM - 06:00 PM,False,251428623,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
LE BALTO - HERBIGNAC,73916671,MP00045140,30 AVENUE DE LA MONNERAYE,,,HERBIGNAC,,FR,44410,62.6104351595584,km,291500648,47.4492,-2.31145,12:00 AM - 12:00 AM,06:30 AM - 08:00 PM,06:30 AM - 08:00 PM,06:30 AM - 09:00 PM,06:30 AM - 09:00 PM,07:30 AM - 08:00 PM,07:30 AM - 07:00 PM,False,240889052,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
MAISON DE LA PRESSE - ST GILLES CROIX DE,71852889,MP00045015,3 BOULEVARD POMPIDOU,,,ST GILLES CROIX DE VIE,,FR,85800,64.464189697029,km,291305640,46.7017,-1.93882,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,09:00 AM - 07:00 PM,12:00 AM - 12:00 AM,False,251555199,True,True,False,False,False,EUR,EUR,False,False,False,False,False,False,False,False
